id_fijo,nombre,orden,url,id_modal,zona,accesible,linea,tabla_origen,zona_actualizada,correspondencias
255,Las Rosas,1,https://www.metromadrid.es/es/linea/linea-2#estacion-255,534.0,A,,2,linea_2,,[]
254,Avenida de Guadalajara,2,https://www.metromadrid.es/es/linea/linea-2#estacion-254,434.0,A,,2,linea_2,,[]
253,Alsacia,3,https://www.metromadrid.es/es/linea/linea-2#estacion-253,414.0,A,,2,linea_2,,[]
252,La Almudena,4,https://www.metromadrid.es/es/linea/linea-2#estacion-252,520.0,A,,2,linea_2,,[]
251,La Elipa,5,https://www.metromadrid.es/es/linea/linea-2#estacion-251,521.0,A,,2,linea_2,,[]
201,Ventas,6,https://www.metromadrid.es/es/linea/linea-2#estacion-201,642.0,A,,2,linea_2,,"[""5""]"
202,Manuel Becerra,7,https://www.metromadrid.es/es/linea/linea-2#estacion-202,545.0,A,,2,linea_2,,"[""6""]"
203,Goya,8,https://www.metromadrid.es/es/linea/linea-2#estacion-203,500.0,A,,2,linea_2,,"[""4""]"
204,Príncipe de Vergara,9,https://www.metromadrid.es/es/linea/linea-2#estacion-204,591.0,A,,2,linea_2,,"[""9""]"
205,Retiro,10,https://www.metromadrid.es/es/linea/linea-2#estacion-205,603.0,A,,2,linea_2,,[]
206,Banco de España,11,https://www.metromadrid.es/es/linea/linea-2#estacion-206,439.0,A,,2,linea_2,,[]
207,Sevilla,12,https://www.metromadrid.es/es/linea/linea-2#estacion-207,624.0,A,,2,linea_2,,[]
112,Sol,13,https://www.metromadrid.es/es/linea/linea-2#estacion-112,627.0,A,,2,linea_2,,"[""1"", ""3""]"
209,Ópera,14,https://www.metromadrid.es/es/linea/linea-2#estacion-209,566.0,A,,2,linea_2,,"[""Ramal""]"
210,Santo Domingo,15,https://www.metromadrid.es/es/linea/linea-2#estacion-210,622.0,A,,2,linea_2,,[]
211,Noviciado,16,https://www.metromadrid.es/es/linea/linea-2#estacion-211,560.0,A,,2,linea_2,,[]
212,San Bernardo,17,https://www.metromadrid.es/es/linea/linea-2#estacion-212,612.0,A,,2,linea_2,,"[""4""]"
213,Quevedo,18,https://www.metromadrid.es/es/linea/linea-2#estacion-213,600.0,A,,2,linea_2,,[]
214,Canal,19,https://www.metromadrid.es/es/linea/linea-2#estacion-214,452.0,A,,2,linea_2,,"[""7""]"
106,Cuatro Caminos,20,https://www.metromadrid.es/es/linea/linea-2#estacion-106,475.0,A,,2,linea_2,,"[""1"", ""6""]"
358,El Casar,1,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-358,485.0,A,,3,linea_3,,"[""12""]"
357,Villaverde Alto,2,https://www.metromadrid.es/es/linea/linea-3#estacion-357,647.0,A,,3,linea_3,,[]
356,San Cristóbal,3,https://www.metromadrid.es/es/linea/linea-3#estacion-356,615.0,A,,3,linea_3,,[]
355,Villaverde Bajo Cruce,4,https://www.metromadrid.es/es/linea/linea-3#estacion-355,648.0,A,,3,linea_3,,[]
354,Ciudad de los Ángeles,5,https://www.metromadrid.es/es/linea/linea-3#estacion-354,463.0,A,,3,linea_3,,[]
353,San Fermín – Orcasur,6,https://www.metromadrid.es/es/linea/linea-3#estacion-353,616.0,A,,3,linea_3,,[]
352,Hospital 12 de Octubre,7,https://www.metromadrid.es/es/linea/linea-3#estacion-352,512.0,A,,3,linea_3,,[]
351,Almendrales,8,https://www.metromadrid.es/es/linea/linea-3#estacion-351,410.0,A,,3,linea_3,,[]
301,Legazpi,9,https://www.metromadrid.es/es/linea/linea-3#estacion-301,539.0,A,,3,linea_3,,"[""6""]"
302,Delicias,10,https://www.metromadrid.es/es/linea/linea-3#estacion-302,478.0,A,,3,linea_3,,[]
303,Palos de la Frontera,11,https://www.metromadrid.es/es/linea/linea-3#estacion-303,571.0,A,,3,linea_3,,[]
304,Embajadores,12,https://www.metromadrid.es/es/linea/linea-3#estacion-304,486.0,A,,3,linea_3,,[]
305,Lavapiés,13,https://www.metromadrid.es/es/linea/linea-3#estacion-305,537.0,A,,3,linea_3,,[]
112,Sol,14,https://www.metromadrid.es/es/linea/linea-3#estacion-112,627.0,A,,3,linea_3,,"[""1"", ""2""]"
307,Callao,15,https://www.metromadrid.es/es/linea/linea-3#estacion-307,450.0,A,,3,linea_3,A,"[""5""]"
308,Plaza de España,16,https://www.metromadrid.es/es/linea/linea-3#estacion-308,587.0,A,,3,linea_3,,"[""10""]"
309,Ventura Rodríguez,17,https://www.metromadrid.es/es/linea/linea-3#estacion-309,644.0,A,,3,linea_3,,[]
310,Argüelles,18,https://www.metromadrid.es/es/linea/linea-3#estacion-310,425.0,A,,3,linea_3,,"[""4"", ""6""]"
311,Moncloa,19,https://www.metromadrid.es/es/linea/linea-3#estacion-311,557.0,A,,3,linea_3,,"[""6""]"
310,Argüelles,1,https://www.metromadrid.es/es/linea/linea-4#estacion-310,425.0,A,,4,linea_4,,"[""3"", ""6""]"
212,San Bernardo,2,https://www.metromadrid.es/es/linea/linea-4#estacion-212,612.0,A,,4,linea_4,,"[""2""]"
113,Bilbao,3,https://www.metromadrid.es/es/linea/linea-4#estacion-113,447.0,A,,4,linea_4,,"[""1""]"
404,Alonso Martínez,4,https://www.metromadrid.es/es/linea/linea-4#estacion-404,413.0,A,,4,linea_4,,"[""10"", ""5""]"
405,Colón,5,https://www.metromadrid.es/es/linea/linea-4#estacion-405,467.0,A,,4,linea_4,,[]
406,Serrano,6,https://www.metromadrid.es/es/linea/linea-4#estacion-406,623.0,A,,4,linea_4,,[]
