id_estacion,linea,nombre_estacion,id_modal,url,zona,accesible
1214,12,Fuenlabrada Central,496.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1214,A,False
1215,12,Parque de los Estados,575.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1215,A,False
1217,12,Arroyo Culebro,426.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1217,A,False
1218,12,Conservatorio,472.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1218,A,False
1219,12,Alonso de Mendoza,412.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1219,A,False
1220,12,Getafe Central,499.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1220,A,False
1221,12,Juan de la Cierva,518.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1221,A,False
358,12,El Casar,485.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-358,A,False
1223,12,Los Espartales,542.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1223,A,False
1224,12,El Bercial,481.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1224,A,False
1225,12,El Carrascal,484.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1225,A,False
1226,12,Julián Besteiro,519.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1226,A,False
1227,12,Casa del Reloj,460.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1227,A,False
1228,12,Hospital Severo Ochoa,511.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1228,A,False
1229,12,Leganés Central,538.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1229,A,False
1230,12,San Nicasio,620.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1230,A,False
255,2,Las Rosas,534.0,https://www.metromadrid.es/es/linea/linea-2#estacion-255,A,False
254,2,Avenida de Guadalajara,434.0,https://www.metromadrid.es/es/linea/linea-2#estacion-254,A,False
253,2,Alsacia,414.0,https://www.metromadrid.es/es/linea/linea-2#estacion-253,A,False
252,2,La Almudena,520.0,https://www.metromadrid.es/es/linea/linea-2#estacion-252,A,False
251,2,La Elipa,521.0,https://www.metromadrid.es/es/linea/linea-2#estacion-251,A,False
201,2,Ventas,642.0,https://www.metromadrid.es/es/linea/linea-2#estacion-201,A,False
202,2,Manuel Becerra,545.0,https://www.metromadrid.es/es/linea/linea-2#estacion-202,A,False
203,2,Goya,500.0,https://www.metromadrid.es/es/linea/linea-2#estacion-203,A,False
204,2,Príncipe de Vergara,591.0,https://www.metromadrid.es/es/linea/linea-2#estacion-204,A,False
205,2,Retiro,603.0,https://www.metromadrid.es/es/linea/linea-2#estacion-205,A,False
206,2,Banco de España,439.0,https://www.metromadrid.es/es/linea/linea-2#estacion-206,A,False
207,2,Sevilla,624.0,https://www.metromadrid.es/es/linea/linea-2#estacion-207,A,False
112,2,Sol,627.0,https://www.metromadrid.es/es/linea/linea-2#estacion-112,A,False
209,2,Ópera,566.0,https://www.metromadrid.es/es/linea/linea-2#estacion-209,A,False
210,2,Santo Domingo,622.0,https://www.metromadrid.es/es/linea/linea-2#estacion-210,A,False
211,2,Noviciado,560.0,https://www.metromadrid.es/es/linea/linea-2#estacion-211,A,False
212,2,San Bernardo,612.0,https://www.metromadrid.es/es/linea/linea-2#estacion-212,A,False
213,2,Quevedo,600.0,https://www.metromadrid.es/es/linea/linea-2#estacion-213,A,False
214,2,Canal,452.0,https://www.metromadrid.es/es/linea/linea-2#estacion-214,A,False
106,2,Cuatro Caminos,475.0,https://www.metromadrid.es/es/linea/linea-2#estacion-106,A,False
358,3,El Casar,485.0,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-358,A,False
357,3,Villaverde Alto,647.0,https://www.metromadrid.es/es/linea/linea-3#estacion-357,A,False
356,3,San Cristóbal,615.0,https://www.metromadrid.es/es/linea/linea-3#estacion-356,A,False
355,3,Villaverde Bajo Cruce,648.0,https://www.metromadrid.es/es/linea/linea-3#estacion-355,A,False
354,3,Ciudad de los Ángeles,463.0,https://www.metromadrid.es/es/linea/linea-3#estacion-354,A,False
353,3,San Fermín – Orcasur,616.0,https://www.metromadrid.es/es/linea/linea-3#estacion-353,A,False
352,3,Hospital 12 de Octubre,512.0,https://www.metromadrid.es/es/linea/linea-3#estacion-352,A,False
