line_number,station_name,station_id,url
5,Vista Alegre,524,https://www.metromadrid.es/es/linea/linea-5#estacion-524
5,Carabanchel,525,https://www.metromadrid.es/es/linea/linea-5#estacion-525
5,Eugenia de Montijo,526,https://www.metromadrid.es/es/linea/linea-5#estacion-526
5,Aluche,527,https://www.metromadrid.es/es/linea/linea-5#estacion-527
5,Empalme,528,https://www.metromadrid.es/es/linea/linea-5#estacion-528
5,Campamento,529,https://www.metromadrid.es/es/linea/linea-5#estacion-529
5,Casa de Campo,530,https://www.metromadrid.es/es/linea/linea-5#estacion-530
6,Laguna,601,https://www.metromadrid.es/es/linea/linea-6#estacion-601
6,Carpetana,602,https://www.metromadrid.es/es/linea/linea-6#estacion-602
6,Oporto,523,https://www.metromadrid.es/es/linea/linea-6#estacion-523
6,Opañel,604,https://www.metromadrid.es/es/linea/linea-6#estacion-604
6,Plaza Elíptica,605,https://www.metromadrid.es/es/linea/linea-6#estacion-605
6,Usera,606,https://www.metromadrid.es/es/linea/linea-6#estacion-606
6,Legazpi,301,https://www.metromadrid.es/es/linea/linea-6#estacion-301
6,Arganzuela – Planetario,608,https://www.metromadrid.es/es/linea/linea-6#estacion-608
6,Méndez Álvaro,609,https://www.metromadrid.es/es/linea/linea-6#estacion-609
6,Pacífico,118,https://www.metromadrid.es/es/linea/linea-6#estacion-118
6,Conde de Casal,611,https://www.metromadrid.es/es/linea/linea-6#estacion-611
6,Sainz de Baranda,612,https://www.metromadrid.es/es/linea/linea-6#estacion-612
6,O’Donnell,613,https://www.metromadrid.es/es/linea/linea-6#estacion-613
6,Manuel Becerra,202,https://www.metromadrid.es/es/linea/linea-6#estacion-202
6,Diego de León,410,https://www.metromadrid.es/es/linea/linea-6#estacion-410
6,Avenida de América,411,https://www.metromadrid.es/es/linea/linea-6#estacion-411
6,República Argentina,617,https://www.metromadrid.es/es/linea/linea-6#estacion-617
6,Nuevos Ministerios,618,https://www.metromadrid.es/es/linea/linea-6#estacion-618
6,Cuatro Caminos,106,https://www.metromadrid.es/es/linea/linea-6#estacion-106
6,Guzmán el Bueno,620,https://www.metromadrid.es/es/linea/linea-6#estacion-620
6,Vicente Aleixandre,621,https://www.metromadrid.es/es/linea/linea-6#estacion-621
6,Ciudad Universitaria,622,https://www.metromadrid.es/es/linea/linea-6#estacion-622
6,Moncloa,311,https://www.metromadrid.es/es/linea/linea-6#estacion-311
6,Argüelles,310,https://www.metromadrid.es/es/linea/linea-6#estacion-310
6,Príncipe Pío,625,https://www.metromadrid.es/es/linea/linea-6#estacion-625
6,Puerta del Ángel,623,https://www.metromadrid.es/es/linea/linea-6#estacion-623
6,Alto de Extremadura,626,https://www.metromadrid.es/es/linea/linea-6#estacion-626
6,Lucero,628,https://www.metromadrid.es/es/linea/linea-6#estacion-628
7,Hospital del Henares,760,https://www.metromadrid.es/es/linea/linea-7#estacion-760
7,Henares,759,https://www.metromadrid.es/es/linea/linea-7#estacion-759
7,Jarama,758,https://www.metromadrid.es/es/linea/linea-7#estacion-758
7,San Fernando,757,https://www.metromadrid.es/es/linea/linea-7#estacion-757
